name,name_kn,brand,unit,mrp,stock,category,category_kn,description,image_url,mrp_source
Detergent Bar,ಸೋಪು ಬಾರ್,Rin,250 g,20,,Cleaning,ಸ್ವಚ್ಛತೆ,"A hard laundry soap bar for washing clothes by hand, rubbed straight onto collars, cuffs and stains before a bucket wash. A 250 g bar lasts a small household a week or two of daily washing.",https://wink-1nn.pages.dev/catalogue/detergent-bar-250-g.jpg,"https://www.bigbasket.com/pd/40002072/rin-detergent-bar-250-g/ (listed Rs 20, Sept 2026); Wheel and Surf Excel 250 g bars sit in the Rs 15-30 band"
Detergent Powder,ಪುಡಿ ಸೋಪು,Surf Excel Easy Wash,1 kg,130,,Cleaning,ಸ್ವಚ್ಛತೆ,"Washing powder for laundry, used for both bucket hand-washing and washing machines. A 1 kg pack covers a small family's clothes for roughly two to three weeks.",https://wink-1nn.pages.dev/catalogue/detergent-powder-1-kg.jpg,"https://www.bigbasket.com/pd/40101707/surf-excel-easy-wash-detergent-powder-1-kg/ (listed Rs 128, Sept 2026); economy alternatives Wheel Active / Nirma 1 kg are about Rs 70-80"
Dishwash Bar,ಪಾತ್ರೆ ಸೋಪು,Vim,300 g,30,,Cleaning,ಸ್ವಚ್ಛತೆ,"A hard bar for scrubbing vessels by hand: rub a wet scrubber on the bar, clean the pots and rinse. A 300 g bar lasts a small family two to three weeks of daily dish washing.",https://wink-1nn.pages.dev/catalogue/dishwash-bar-300-g.jpg,"https://www.apollopharmacy.in/otc/vim-dishwash-bar-300g (listed Rs 30, Sept 2026); bigbasket/Flipkart show Rs 25-30 for the 300 g bar"
Dishwash Liquid,ಪಾತ್ರೆ ದ್ರವ,Vim,500 ml,125,,Cleaning,ಸ್ವಚ್ಛತೆ,Concentrated liquid for washing vessels by hand; a few drops on a wet scrubber cleans oily tawas and steel plates. A 500 ml bottle covers a small family's daily dishes for about a month.,https://wink-1nn.pages.dev/catalogue/dishwash-liquid-500-ml.jpg,"https://www.bigbasket.com/pd/266962/vim-dishwash-liquid-gel-lemon-500-ml-bottle/ (listed Rs 125, Sept 2026); Blinkit shows MRP Rs 140"
Floor Cleaner,ನೆಲ ಕ್ಲೀನರ್,Lizol,1 L,260,,Cleaning,ಸ್ವಚ್ಛತೆ,Disinfectant floor cleaner diluted in a bucket of water for daily mopping of tiles and mosaic floors. A 1 L bottle gives roughly a month of once-a-day mopping in a two-room house.,https://wink-1nn.pages.dev/catalogue/floor-cleaner-1-l.jpg,"https://blinkit.com/prn/lizol-disinfectant-surface-floor-cleaner-1-l/prid/18577 (MRP Rs 260, sells Rs 224, Sept 2026)"
Phenyl,ಫಿನಾಯಿಲ್,Sunrise,1 L,85,,Cleaning,ಸ್ವಚ್ಛತೆ,"White phenyl, a strong-smelling disinfectant fluid mixed into mopping water for floors, bathrooms and drains. A 1 L bottle lasts a household one to two months.",,"https://www.bigbasket.com/pd/40057395/sunrise-white-phenyl-extra-strong-1-l/ (listed Rs 85, Sept 2026); unbranded 1 L white phenyl sells for Rs 40-70"
Toilet Cleaner,ಟಾಯ್ಲೆಟ್ ಕ್ಲೀನರ್,Harpic,500 ml,110,,Cleaning,ಸ್ವಚ್ಛತೆ,"Thick acidic liquid squeezed under the rim of the toilet bowl to remove stains and limescale, left for a few minutes and brushed off. A 500 ml bottle lasts a household about a month of regular cleaning.",https://wink-1nn.pages.dev/catalogue/toilet-cleaner-500-ml.jpg,"https://www.zeptonow.com/pn/harpic-toilet-cleaner-liquid-original/pvid/63bc43f6-2538-42a6-9d43-748300c1c5f0 (MRP Rs 110, Sept 2026)"
Bread,ಬ್ರೆಡ್,Modern,400 g,45,,Dairy & Bread,ಹಾಲು & ಬ್ರೆಡ್,"Sliced white sandwich bread, eaten toasted with butter or jam at breakfast, made into bread omelette, sandwiches and bread upma, and softened in milk for kids. A 400 g loaf gives about 12-14 slices, enough for a small family's breakfasts for two or three days.",https://wink-1nn.pages.dev/catalogue/bread-400-g.jpg,"typical shelf price, Sept 2026 (Britannia Vitarich white sandwich bread 400 g MRP Rs 55 on starquik.com Mumbai; Modern/Britannia white 400 g sells at Rs 40-50 in Karnataka; local bakery loaves Rs 30-35)"
Butter,ಬೆಣ್ಣೆ,Nandini,100 g,70,,Dairy & Bread,ಹಾಲು & ಬ್ರೆಡ್,"Pasteurised salted table butter, called benne in Kannada, spread on bread and dosa, melted over set dosa and pav, and used in baking. A 100 g bar suits a family that uses butter occasionally and is easy to finish before it goes off.",https://wink-1nn.pages.dev/catalogue/butter-100-g.jpg,"https://www.newkerala.com/news/a/bengaluru-milk-union-revises-nandini-ghee-butter-prices-665.htm (KMF revision: Nandini salted butter 100 g Rs 70, 500 g Rs 310, late 2025; no change reported since)"
Curd,ಮೊಸರು,Nandini,400 g,28,,Dairy & Bread,ಹಾಲು & ಬ್ರೆಡ್,"Fresh set curd, called mosaru in Kannada, eaten with rice at the end of most meals and used for raita, majjige (buttermilk) and curd rice. A 400 g pouch covers a small family's curd for a day or two and keeps for a couple of days in the fridge.",https://wink-1nn.pages.dev/catalogue/curd-400-g.jpg,"https://www.bigbasket.com/pd/40359295/nandini-curd-415-g-pouch/ (Nandini Curd 415 g pouch listed Rs 27, Sept 2026; the 500 g pouch retails Rs 32 on udupifresh.com)"
